kernel,label,m,rep,eps_m,I_star,regret_robust,regret_plugin_greedy,regret_plugin_exhaustive,diff_robust_minus_plugin,robust_wins,tie,same_protocol
trait_ou,mean,50,27,0.16087757961461213,0.6907252995047104,0.029245541514213547,0.0,0.0,0.029245541514213547,0,0,0
trait_ou,mean,50,28,0.14053978155114816,0.6907252995047104,0.024642788836211516,0.015931674496338588,0.0,0.008711114339872927,0,0,0
trait_ou,mean,50,29,0.10814408428224254,0.6907252995047104,6.460355991932953e-05,6.460355991932953e-05,6.460355991932953e-05,0.0,0,1,1
trait_ou,mean,50,30,0.19795841604926473,0.6907252995047104,0.028863495404557793,0.03183563220872199,0.049189084178437814,-0.002972136804164194,1,0,0
trait_ou,mean,50,31,0.15028877996523127,0.6907252995047104,0.006713285763997989,0.009357104428705854,0.006713285763997989,-0.0026438186647078643,1,0,0
trait_ou,mean,50,32,0.1809532933903666,0.6907252995047104,0.04518272505979848,0.046681276841894825,0.046681276841894825,-0.0014985517820963468,1,0,0
trait_ou,mean,50,33,0.17954814748846143,0.6907252995047104,0.1104565681631472,0.1104565681631472,0.0,0.0,0,1,1
trait_ou,mean,50,34,0.14545459702979313,0.6907252995047104,0.01673717695478616,0.01673717695478616,0.0,0.0,0,1,0
trait_ou,mean,50,35,0.13099413860436537,0.6907252995047104,0.028863495404557682,0.006713285763997989,0.03183563220872199,0.022150209640559693,0,0,0
trait_ou,mean,50,36,0.11525139930502143,0.6907252995047104,0.022929268809470882,0.0034570449424917715,0.0034570449424917715,0.01947222386697911,0,0,0
trait_ou,mean,50,37,0.15837246314151476,0.6907252995047104,6.460355991932953e-05,6.460355991932953e-05,6.460355991932953e-05,0.0,0,1,1
trait_ou,mean,50,38,0.08604579297166215,0.6907252995047104,0.029160307758613557,0.0034570449424917715,0.0034570449424917715,0.025703262816121786,0,0,0
trait_ou,mean,50,39,0.1566104280308963,0.6907252995047104,0.032072885935650164,0.032072885935650164,0.032072885935650164,0.0,0,1,1
trait_ou,mean,50,40,0.13421584915298168,0.6907252995047104,0.02916030775861367,0.02916030775861367,0.009357104428705854,0.0,0,1,1
trait_ou,mean,50,41,0.14726860516954055,0.6907252995047104,0.05863935306726742,0.05863935306726742,0.07629680350858248,0.0,0,1,1
trait_ou,mean,50,42,0.15751027702927778,0.6907252995047104,0.009357104428705854,0.0034570449424916605,0.009357104428705854,0.005900059486214193,0,0,0
trait_ou,mean,50,43,0.15792475482631946,0.6907252995047104,0.033776082440184596,0.033776082440184596,0.01482039542407887,0.0,0,1,1
trait_ou,mean,50,44,0.2728960110928439,0.6907252995047104,0.0,0.022073528841416445,0.022073528841416445,-0.022073528841416445,1,0,0
trait_ou,mean,50,45,0.2015569103841402,0.6907252995047104,0.02327881424052236,0.0034570449424916605,0.007793963469837295,0.0198217692980307,0,0,0
trait_ou,mean,50,46,0.1387505697591967,0.6907252995047104,0.007150820228128185,0.0034570449424916605,0.02453472227248077,0.0036937752856365247,0,0,0
trait_ou,mean,50,47,0.14589974018662522,0.6907252995047104,0.031157011141005775,0.031157011141005775,0.031157011141005775,0.0,0,1,1
trait_ou,mean,50,48,0.15377580331645602,0.6907252995047104,0.007793963469837295,0.007793963469837295,0.007793963469837295,0.0,0,1,1
trait_ou,mean,50,49,0.20578869287918844,0.6907252995047104,0.028998518687603614,0.028557641561249403,0.007793963469837295,0.00044087712635421106,0,0,0
trait_ou,mean,50,50,0.11625059326761533,0.6907252995047104,0.022073528841416334,6.460355991932953e-05,6.460355991932953e-05,0.022008925281497005,0,0,0
trait_ou,mean,50,51,0.07059908086978772,0.6907252995047104,0.0,0.0,0.0,0.0,0,1,0
trait_ou,mean,50,52,0.17719924274454762,0.6907252995047104,6.460355991932953e-05,6.460355991932953e-05,6.460355991932953e-05,0.0,0,1,1
trait_ou,mean,50,53,0.21875479161186873,0.6907252995047104,0.0,0.022043656035378945,0.022043656035378945,-0.022043656035378945,1,0,0
trait_ou,mean,50,54,0.15005892692355816,0.6907252995047104,0.03183563220872199,6.460355991932953e-05,6.460355991932953e-05,0.03177102864880266,0,0,0
trait_ou,mean,50,55,0.16656212233248813,0.6907252995047104,0.029483384904012477,0.006429936994737484,0.006429936994737484,0.023053447909274993,0,0,0
trait_ou,mean,50,56,0.18410610583836956,0.6907252995047104,0.01673717695478616,6.460355991932953e-05,6.460355991932953e-05,0.01667257339486683,0,0,0
trait_ou,mean,50,57,0.11345872112575778,0.6907252995047104,0.02518490160958986,0.05474391115014843,0.022073528841416445,-0.029559009540558567,1,0,0
trait_ou,mean,50,58,0.1688550513281426,0.6907252995047104,0.07660225114623731,0.047833294789329406,0.014335910833008558,0.028768956356907904,0,0,0
trait_ou,mean,50,59,0.09376319129170474,0.6907252995047104,0.029483384904012477,0.022043656035378945,0.009357104428705854,0.007439728868633533,0,0,0
trait_ou,mean,50,60,0.14302987957558966,0.6907252995047104,0.0,0.006429936994737262,0.0,-0.006429936994737262,1,0,0
trait_ou,mean,50,61,0.17295846427697786,0.6907252995047104,0.02327881424052236,0.01482039542407887,0.01482039542407887,0.008458418816443491,0,0,0
trait_ou,mean,50,62,0.12665138799442438,0.6907252995047104,0.030013999922933743,0.030013999922933743,0.030013999922933743,0.0,0,1,1
trait_ou,mean,50,63,0.1532900430836115,0.6907252995047104,0.04407616034592288,6.460355991932953e-05,6.460355991932953e-05,0.04401155678600355,0,0,0
trait_ou,mean,50,64,0.07971875931484118,0.6907252995047104,0.01673717695478616,0.0034570449424917715,0.009357104428705854,0.013280132012294388,0,0,0
trait_ou,mean,50,65,0.11339751088353561,0.6907252995047104,0.0,0.028557641561249403,0.0,-0.028557641561249403,1,0,0
trait_ou,mean,50,66,0.2292023269182918,0.6907252995047104,0.0034570449424917715,0.0034570449424917715,0.0034570449424917715,0.0,0,1,1
trait_ou,mean,50,67,0.08647434613707417,0.6907252995047104,0.0,0.006429936994737484,0.006429936994737484,-0.006429936994737484,1,0,0
trait_ou,mean,50,68,0.12237568237273544,0.6907252995047104,0.05275390355509646,0.05474391115014843,0.05474391115014843,-0.001990007595051968,1,0,0
trait_ou,mean,50,69,0.27044352260138993,0.6907252995047104,0.030013999922933854,0.030013999922933854,0.030013999922933854,0.0,0,1,1
trait_ou,mean,50,70,0.1726817807870391,0.6907252995047104,0.007150820228128185,0.007150820228128185,0.007150820228128185,0.0,0,1,1
trait_ou,mean,50,71,0.11445086991592346,0.6907252995047104,0.0,0.03948236568947949,0.02807701999074841,-0.03948236568947949,1,0,0
trait_ou,mean,50,72,0.1158774275299021,0.6907252995047104,0.022073528841416445,0.027577804294958375,0.027577804294958375,-0.005504275453541929,1,0,0
trait_ou,mean,50,73,0.17858864765228927,0.6907252995047104,0.022073528841416445,0.022073528841416445,0.028557641561249403,0.0,0,1,1
trait_ou,mean,50,74,0.1444197798929736,0.6907252995047104,0.007793963469837295,0.006713285763997989,0.045194045086796586,0.0010806777058393058,0,0,0
trait_ou,mean,50,75,0.17741027589963704,0.6907252995047104,0.03216825154893699,0.0,0.009357104428705854,0.03216825154893699,0,0,0
trait_ou,mean,50,76,0.08971142735626703,0.6907252995047104,0.0,0.007150820228128185,0.006713285763997989,-0.007150820228128185,1,0,0
trait_ou,mean,50,77,0.14317739224597503,0.6907252995047104,0.007150820228128185,0.01482039542407887,0.0067132857639981,-0.007669575195950684,1,0,0
trait_ou,mean,50,78,0.1254987238746451,0.6907252995047104,0.009357104428705854,0.009357104428705854,0.009357104428705854,0.0,0,1,1
trait_ou,mean,50,79,0.13918033488353176,0.6907252995047104,0.006429936994737484,0.006429936994737484,0.006429936994737484,0.0,0,1,1
trait_ou,mean,50,80,0.1098016551290178,0.6907252995047104,0.007150820228128185,0.007150820228128185,0.01482039542407887,0.0,0,1,1
trait_ou,mean,50,81,0.15726558276254005,0.6907252995047104,6.460355991932953e-05,6.460355991932953e-05,6.460355991932953e-05,0.0,0,1,1
trait_ou,mean,50,82,0.2624438246116029,0.6907252995047104,6.460355991932953e-05,6.460355991932953e-05,6.460355991932953e-05,0.0,0,1,1
trait_ou,mean,50,83,0.18823239982442563,0.6907252995047104,0.02781398409126945,0.09223264664334707,6.460355991932953e-05,-0.06441866255207762,1,0,0
trait_ou,mean,50,84,0.16305844719019236,0.6907252995047104,0.04890784615231236,0.041496443613811884,0.022929268809470882,0.007411402538500478,0,0,0
trait_ou,mean,50,85,0.20578977131727522,0.6907252995047104,0.0,0.022073528841416334,0.022073528841416334,-0.022073528841416334,1,0,0
trait_ou,mean,50,86,0.1426019893182861,0.6907252995047104,0.0067132857639981,0.0067132857639981,0.007793963469837295,0.0,0,1,1
trait_ou,mean,50,87,0.09617445324271201,0.6907252995047104,0.0,0.022929268809470882,0.022929268809470882,-0.022929268809470882,1,0,0
trait_ou,mean,50,88,0.20082499194202874,0.6907252995047104,0.029245541514213658,0.029328021304008245,0.029328021304008245,-8.247978979458725e-05,1,0,0
trait_ou,mean,50,89,0.15607346295065877,0.6907252995047104,0.0034570449424916605,0.006713285763997989,0.0034570449424916605,-0.0032562408215063288,1,0,0
trait_ou,mean,50,90,0.15177357387497503,0.6907252995047104,0.02327881424052236,0.006429936994737484,0.01673717695478616,0.016848877245784877,0,0,0
