alpha,label,protocol,model,seed_index,seed_key,n_subjects_train,n_subjects_test,n_horizons,r2_total,r2_between,r2_within,within_squared_corr,bayes_r2_total,bayes_r2_between,bayes_r2_within,bayes_within_squared_corr,hyperparameter
0.35,mean,dispersed,gp,0,"[20260802, 777, 0]",2500,5000,2,0.7104384894774285,0.7997371373454243,-0.396077619082166,0.2753870513734169,0.7232478805588858,0.8151240150356036,-0.415206342633347,0.2895930017204249,reg=1
0.35,mean,dispersed,mlp,0,"[20260802, 777, 0]",2500,5000,2,0.7213467899532471,0.8053380908230718,-0.31940499756228435,0.2897231182298401,0.7232478805588858,0.8151240150356036,-0.415206342633347,0.2895930017204249,weight_decay=0.1
0.35,occupation,same_time,ridge,1,"[20260802, 777, 1]",2500,5000,2,0.34900390745496435,0.45832039194021923,-0.7672333718483111,0.07957781243215793,0.35140212408487503,0.4556818289294534,-0.7134042916205392,0.08257682764603747,cv-alpha
0.35,occupation,same_time,gp,1,"[20260802, 777, 1]",2500,5000,2,0.3446820903483586,0.45471724960341997,-0.7788936207891459,0.08108629659587095,0.35140212408487503,0.4556818289294534,-0.7134042916205392,0.08257682764603747,reg=1
0.35,occupation,same_time,mlp,1,"[20260802, 777, 1]",2500,5000,2,0.3506712354202518,0.4618042352673112,-0.7841145928490914,0.08297503231983294,0.35140212408487503,0.4556818289294534,-0.7134042916205392,0.08257682764603747,weight_decay=0.01
0.35,occupation,dispersed,ridge,1,"[20260802, 777, 1]",2500,5000,2,0.6821843798317324,0.782762440006638,-0.34482431676041836,0.22499651222190165,0.6926209655868312,0.7926878388568257,-0.3291679703933643,0.23956808927387999,cv-alpha
0.35,occupation,dispersed,gp,1,"[20260802, 777, 1]",2500,5000,2,0.6855097707972453,0.7861606741330098,-0.34224273174581743,0.2368196760727405,0.6926209655868312,0.7926878388568257,-0.3291679703933643,0.23956808927387999,reg=3
0.35,occupation,dispersed,mlp,1,"[20260802, 777, 1]",2500,5000,2,0.6904288367022906,0.7914398987297516,-0.3410012681715613,0.23574698723843332,0.6926209655868312,0.7926878388568257,-0.3291679703933643,0.23956808927387999,weight_decay=0.01
0.35,mean,same_time,ridge,1,"[20260802, 777, 1]",2500,5000,2,0.3753873224998616,0.4827131050327259,-0.9437526680225785,0.09659227577447518,0.37553675447630586,0.4784876367426596,-0.8898313858913576,0.09659227577447516,cv-alpha
0.35,mean,same_time,gp,1,"[20260802, 777, 1]",2500,5000,2,0.3689859419326398,0.47545665088270916,-0.9396443487647987,0.09369659440605092,0.37553675447630586,0.4784876367426596,-0.8898313858913576,0.09659227577447516,reg=0.1
0.35,mean,same_time,mlp,1,"[20260802, 777, 1]",2500,5000,2,0.3735310300369423,0.48019662541575137,-0.9374946075724253,0.09540890853321128,0.37553675447630586,0.4784876367426596,-0.8898313858913576,0.09659227577447516,weight_decay=0.01
0.35,mean,dispersed,ridge,1,"[20260802, 777, 1]",2500,5000,2,0.7245422645987338,0.8183589438666967,-0.4285574890647583,0.2787243260341431,0.7249687596419934,0.8174349181674962,-0.41153175870855474,0.27914159218485574,cv-alpha
0.35,mean,dispersed,gp,1,"[20260802, 777, 1]",2500,5000,2,0.7087964655469559,0.8058543747848977,-0.4841412093594575,0.2693849162713298,0.7249687596419934,0.8174349181674962,-0.41153175870855474,0.27914159218485574,reg=0.3
0.35,mean,dispersed,mlp,1,"[20260802, 777, 1]",2500,5000,2,0.7243402077845302,0.8172670054066609,-0.41782202054119355,0.27919398153226455,0.7249687596419934,0.8174349181674962,-0.41153175870855474,0.27914159218485574,weight_decay=0.01
0.35,occupation,same_time,ridge,2,"[20260802, 777, 2]",2500,5000,2,0.3588390336875813,0.46853893526600665,-0.8077850817700218,0.07048057503350336,0.36260511133374873,0.47047561372557245,-0.7845639164056373,0.07381214345057156,cv-alpha
0.35,occupation,same_time,gp,2,"[20260802, 777, 2]",2500,5000,2,0.35969884100071814,0.46901797832719383,-0.80287596582272,0.07473959292782113,0.36260511133374873,0.47047561372557245,-0.7845639164056373,0.07381214345057156,reg=3
