label,budget,method,fold,r2_heldout,selection_score_train,r2_heldout_sd_over_draws,n_test_records,n_train_records,cost_epochs,runtime_s
REM,32,random,3,0.704404782538621,0.6730559877119566,0.06406687970409959,37,160,32.0,0.0
REM,32,imse,3,0.8048451684807167,0.825159739216382,nan,37,160,32.0,0.06304900000395719
REM,32,kernel_quadrature,3,0.6417024206306403,0.8915689019333494,nan,37,160,32.0,0.05903250000119442
REM,32,label_aware,3,0.7483691713244768,0.9067360386903802,nan,37,160,32.0,0.038308333001623396
REM,64,consecutive,3,0.8185902035701349,0.8778087905990452,nan,37,160,64.0,0.0
REM,64,uniform,3,0.8943655446567828,0.9125257438108975,nan,37,160,64.0,0.0
REM,64,random,3,0.7851185533650847,0.8723284852251642,0.05427097116336262,37,160,64.0,0.0
REM,64,imse,3,0.873381322136886,0.9489705194067722,nan,37,160,64.0,0.06304900000395719
REM,64,kernel_quadrature,3,0.8676516319459403,0.963087479557179,nan,37,160,64.0,0.05903250000119442
REM,64,label_aware,3,0.8036459913310208,0.9724408979531709,nan,37,160,64.0,0.060828417001175694
REM,4,consecutive,4,0.7774678631166323,0.049261617577656146,nan,37,160,4.0,0.0
REM,4,uniform,4,0.8106787893807944,0.11719824144187616,nan,37,160,4.0,0.0
REM,4,random,4,0.7855439411428787,0.12533919031877588,0.03475142159001142,37,160,4.0,0.0
REM,4,imse,4,0.7171755847272104,0.3364360929710334,nan,37,160,4.0,0.10041008300322574
REM,4,kernel_quadrature,4,0.7050185602146506,0.4337395887330453,nan,37,160,4.0,0.06250833399826661
REM,4,label_aware,4,0.6540622396841382,0.4303975011168232,nan,37,160,4.0,0.011960707997786812
REM,8,consecutive,4,0.7789897396410912,0.08352127780054336,nan,37,160,8.0,0.0
REM,8,uniform,4,0.8007081106085012,0.18091577945380594,nan,37,160,8.0,0.0
REM,8,random,4,0.7980820664684493,0.2264250569097733,0.025413301247326017,37,160,8.0,0.0
REM,8,imse,4,0.7878904962550232,0.46365081637806627,nan,37,160,8.0,0.10041008300322574
REM,8,kernel_quadrature,4,0.7364181397457825,0.5468479991394217,nan,37,160,8.0,0.06250833399826661
REM,8,label_aware,4,0.7697512039339873,0.6368144890725761,nan,37,160,8.0,0.05601254200155381
REM,16,consecutive,4,0.7965086776821177,0.14457315491106465,nan,37,160,16.0,0.0
REM,16,uniform,4,0.8639639851458619,0.4296480162778892,nan,37,160,16.0,0.0
REM,16,random,4,0.7961792736487324,0.39702576446268034,0.03910159899300387,37,160,16.0,0.0
REM,16,imse,4,0.7890792725121869,0.6389990281157347,nan,37,160,16.0,0.10041008300322574
REM,16,kernel_quadrature,4,0.829077912170718,0.7301970982062139,nan,37,160,16.0,0.06250833399826661
REM,16,label_aware,4,0.6130988297952373,0.8356664236623882,nan,37,160,16.0,0.19728629099699901
REM,32,consecutive,4,0.8220036437401078,0.4942004411437899,nan,37,160,32.0,0.0
REM,32,uniform,4,0.8864763819945531,0.7115989309047629,nan,37,160,32.0,0.0
