repeat,fold,label_model,method,n_windows,width_minutes,total_minutes,n_train,n_test,ceiling_train,ceiling_test
1,0,indicator_linear,mutual_information,16,15.0,240.0,67,17,0.9987485878236938,0.9999999634138044
1,0,indicator_linear,imse,16,15.0,240.0,67,17,0.9996712172303067,0.999999993058069
1,0,indicator_linear,kernel_quadrature,16,15.0,240.0,67,17,0.9996880864280787,0.9999999942474339
1,0,indicator_linear,contiguous,32,15.0,480.0,67,17,0.9908814871037721,0.999999964942986
1,0,indicator_linear,dispersed,32,15.0,480.0,67,17,0.9999899536163956,1.0
1,0,indicator_linear,uniform,32,15.0,480.0,67,17,0.9999710719147302,0.9999999999698314
1,0,indicator_linear,random,32,15.0,480.0,67,17,0.9999649932942877,0.9999999940237138
1,0,indicator_linear,label_aware,32,15.0,480.0,67,17,0.9999766271845246,0.999999999857497
1,0,indicator_linear,mutual_information,32,15.0,480.0,67,17,0.9999472093307431,0.9999999651333861
1,0,indicator_linear,imse,32,15.0,480.0,67,17,0.9999712952496268,1.0
1,0,indicator_linear,kernel_quadrature,32,15.0,480.0,67,17,0.9999862990962487,0.9999999998204201
