cohort,label_model,p,method,n_windows,width_minutes,total_minutes,resolution_limited,ceiling
mixed,indicator_linear,128,label_aware,2,1.0,2.0,1,0.8715983528527558
mixed,indicator_linear,128,mutual_information,2,1.0,2.0,1,0.4841874351622588
mixed,indicator_linear,128,imse,2,1.0,2.0,1,0.8128271405468792
mixed,indicator_linear,128,kernel_quadrature,2,1.0,2.0,1,0.8715983528527558
mixed,indicator_linear,128,contiguous,4,1.0,4.0,1,0.2548072977048128
mixed,indicator_linear,128,contiguous_block,4,1.0,4.0,1,0.25109498404442
mixed,indicator_linear,128,dispersed,4,1.0,4.0,1,0.936328689689203
mixed,indicator_linear,128,uniform,4,1.0,4.0,1,0.8847246851754997
mixed,indicator_linear,128,random,4,1.0,4.0,1,0.8962181264619554
mixed,indicator_linear,128,label_aware,4,1.0,4.0,1,0.9688113475091064
mixed,indicator_linear,128,mutual_information,4,1.0,4.0,1,0.7859550113493504
mixed,indicator_linear,128,imse,4,1.0,4.0,1,0.9073153343724151
mixed,indicator_linear,128,kernel_quadrature,4,1.0,4.0,1,0.9651975304052999
mixed,indicator_linear,128,contiguous,8,1.0,8.0,1,0.2548072977048086
mixed,indicator_linear,128,contiguous_block,8,1.0,8.0,1,0.25109498404442
mixed,indicator_linear,128,dispersed,8,1.0,8.0,1,0.985040672774669
mixed,indicator_linear,128,uniform,8,1.0,8.0,1,0.9705871355860718
mixed,indicator_linear,128,random,8,1.0,8.0,1,0.9722545329022019
mixed,indicator_linear,128,label_aware,8,1.0,8.0,1,0.9927250470875386
mixed,indicator_linear,128,mutual_information,8,1.0,8.0,1,0.960795740621509
mixed,indicator_linear,128,imse,8,1.0,8.0,1,0.9783238937668751
mixed,indicator_linear,128,kernel_quadrature,8,1.0,8.0,1,0.9899279187923348
mixed,indicator_linear,128,contiguous,16,1.0,16.0,1,0.25480729770481975
mixed,indicator_linear,128,contiguous_block,16,1.0,16.0,1,0.2483855090093438
mixed,indicator_linear,128,dispersed,16,1.0,16.0,1,0.9939978120894319
